企業名,納品URL
株式会社竹中製作所,[推定] https://casual-interview-dev.brainverse-ai.com/takenaka-mfg
株式会社長谷工コミュニティ,https://casual-interview-dev.brainverse-ai.com/haseko-hcm
株式会社鳥忠,https://casual-interview-dev.brainverse-ai.com/kobe-torichu
株式会社福井亀之助商店,https://casual-interview-dev.brainverse-ai.com/neocareer
社会福祉法人博由社,https://casual-interview-dev.brainverse-ai.com/hakuyusha
浜田電気工業株式会社,https://casual-interview-dev.brainverse-ai.com/hama-grp
アテナ工業株式会社,https://casual-interview-dev.brainverse-ai.com/athena-kogyo
イシハラ株式会社,https://casual-interview-dev.brainverse-ai.com/ishihara-group
ウチダ株式会社,https://casual-interview-dev.brainverse-ai.com/uchida-kk
サンケンフォーキャスト株式会社,https://casual-interview-dev.brainverse-ai.com/skfc
シーシーアイホールディングス株式会社,https://casual-interview-dev.brainverse-ai.com/cci-corporation
ショウケンガリレイ株式会社,https://casual-interview-dev.brainverse-ai.com/galilei-shoken
スターキャット株式会社,https://casual-interview-dev.brainverse-ai.com/starcat
ナガイホールディングス株式会社,https://casual-interview-dev.brainverse-ai.com/nagaiholdings
伊藤製油株式会社,https://casual-interview-dev.brainverse-ai.com/itoh-oilchem
株式会社アタックス,https://casual-interview-dev.brainverse-ai.com/atax-net
株式会社エルハンド,https://casual-interview-dev.brainverse-ai.com/el-hand
株式会社ゲオホールディングス,https://casual-interview-dev.brainverse-ai.com/geonet
株式会社サトウ商会,https://casual-interview-dev.brainverse-ai.com/satou-corp
株式会社シーアイエス,https://casual-interview-dev.brainverse-ai.com/cisjp
株式会社ジーケーエス,https://casual-interview-dev.brainverse-ai.com/g-k-s
株式会社テック,https://casual-interview-dev.brainverse-ai.com/tecc
株式会社フジケン,https://casual-interview-dev.brainverse-ai.com/fujikengroup
株式会社フジケンハウジング,https://casual-interview-dev.brainverse-ai.com/fashionrenove
株式会社吉田エス・ケイ・テイ,https://casual-interview-dev.brainverse-ai.com/y-skt
教育産業株式会社,https://casual-interview-dev.brainverse-ai.com/ksg
九重味淋株式会社,https://casual-interview-dev.brainverse-ai.com/kokonoe
東レエンジニアリング中部株式会社,https://casual-interview-dev.brainverse-ai.com/toray-eng
浜松委托運送株式会社,https://casual-interview-dev.brainverse-ai.com/itaku-unso
名鉄グループバスホールディングス株式会社,https://casual-interview-dev.brainverse-ai.com/meitetsugroup-bus-holdings
名鉄バス株式会社,https://casual-interview-dev.brainverse-ai.com/meitetsu-bus
フジプレアム株式会社,https://casual-interview-dev.brainverse-ai.com/fujipream
医療法人松澤呼吸器クリニック,https://casual-interview-dev.brainverse-ai.com/matsuzawa-sas
株式会社XREED,https://casual-interview-dev.brainverse-ai.com/xreed
株式会社アカカベ,https://casual-interview-dev.brainverse-ai.com/akakabe
株式会社ジェイオーダー,https://casual-interview-dev.brainverse-ai.com/jorder
株式会社モバイルコム,https://casual-interview-dev.brainverse-ai.com/mobilecom
株式会社リモハブ,https://casual-interview-dev.brainverse-ai.com/remohab
株式会社新通エスピー,https://casual-interview-dev.brainverse-ai.com/shintsusp
大洋興業株式会社,https://casual-interview-dev.brainverse-ai.com/taiyo21
東洋製罐株式会社,https://casual-interview-dev.brainverse-ai.com/toyo-seikan
京急建設株式会社,https://casual-interview-dev.brainverse-ai.com/keikyu-const
齋藤木材工業株式会社,https://casual-interview-dev.brainverse-ai.com/saito-mokuzai
升川建設株式会社,https://casual-interview-dev.brainverse-ai.com/masukawa
